club_id,club_name,conference,age_groups,league,season
4659,JSC Soccer Club ECNL RL B13,NorCal,B2013,ECNL RL Boys,2025-26
4580,Legends FC (SJ) ECNL RL B09,NorCal,B2009,ECNL RL Boys,2025-26
3068,Livermore Fusion SC ECNL RL B13,NorCal,B2008/2007 | B2013,ECNL RL Boys,2025-26
2495,Palo Alto Soccer Club  ECNL RL B12,NorCal,B2012,ECNL RL Boys,2025-26
4067,Revolution FC ECNL RL B13,NorCal,B2013,ECNL RL Boys,2025-26
3252,SF United FC ECNL RL B13,NorCal,B2010 | B2011 | B2013,ECNL RL Boys,2025-26
5322,San Jose Rush ECNL RL B13,NorCal,B2013,ECNL RL Boys,2025-26
2850,San Ramon FC ECNL RL B13,NorCal,B2013,ECNL RL Boys,2025-26
2748,Sheriffs FC ECNL RL B13,NorCal,B2013,ECNL RL Boys,2025-26
5114,South Valley Chivas ECNL RL B13,NorCal,B2013,ECNL RL Boys,2025-26
1721,South Valley United ECNL RL B13,NorCal,B2013,ECNL RL Boys,2025-26
2482,Stanford Strikers FC ECNL RL B13,NorCal,B2010 | B2013,ECNL RL Boys,2025-26
3183,Stockton TLJ FC ECNL RL B11,NorCal,B2011,ECNL RL Boys,2025-26
1649,Union Sacramento FC ECNL RL B13,NorCal,B2009 | B2013,ECNL RL Boys,2025-26
3983,Walnut Creek Surf ECNL RL B13,NorCal,B2013,ECNL RL Boys,2025-26
494,Baltimore Celtic ECNL RL B13,North Atlantic,B2009 | B2013,ECNL RL Boys,2025-26
2701,Delaware FC ECNL RL B13,North Atlantic,B2013,ECNL RL Boys,2025-26
598,FC DELCO ECNL RL B13,North Atlantic,B2010 | B2011 | B2012 | B2013,ECNL RL Boys,2025-26
46,HEX FC Keystone ECNL RL B13,North Atlantic,B2013,ECNL RL Boys,2025-26
451,LVU Rush ECNL RL B13,North Atlantic,B2009 | B2012 | B2013,ECNL RL Boys,2025-26
419,Maryland United FC ECNL RL B13,North Atlantic,B2008/2007 | B2011 | B2012 | B2013,ECNL RL Boys,2025-26
64,Match Fit Surf ECNL RL B13,North Atlantic,B2013,ECNL RL Boys,2025-26
78,PDA ECNL RL B13,North Atlantic,B2010 | B2013,ECNL RL Boys,2025-26
4338,PSA Monmouth ECNL RL B13,North Atlantic,B2013,ECNL RL Boys,2025-26
79,Penn Fusion SA ECNL RL B13,North Atlantic,B2009 | B2010 | B2011 | B2012 | B2013,ECNL RL Boys,2025-26
1345,Philadelphia Ukrainian Nationals ECNL RL B13,North Atlantic,B2013,ECNL RL Boys,2025-26
3405,Pipeline SC ECNL RL B13,North Atlantic,B2008/2007 | B2010 | B2011 | B2013,ECNL RL Boys,2025-26
1940,Potomac SA ECNL RL B13,North Atlantic,B2009 | B2013,ECNL RL Boys,2025-26
4355,SJEB FC ECNL RL B13,North Atlantic,B2013,ECNL RL Boys,2025-26
756,Black Watch Premier ECNL RL B13,Northeast,B2013,ECNL RL Boys,2025-26
489,Brentwood SC ECNL RL B13,Northeast,B2009 | B2011 | B2013,ECNL RL Boys,2025-26
5150,Brooklyn United ECNL RL B13,Northeast,B2012 | B2013,ECNL RL Boys,2025-26
4349,CFC North ECNL RL B13,Northeast,B2009 | B2010 | B2011 | B2013,ECNL RL Boys,2025-26
5229,Eagle FC ECNL RL B13,Northeast,B2013,ECNL RL Boys,2025-26
4220,Eastern FC ECNL RL B13,Northeast,B2013,ECNL RL Boys,2025-26
385,FC Copa Academy ECNL RL B13,Northeast,B2013,ECNL RL Boys,2025-26
397,FC Europa ECNL RL B13,Northeast,B2009 | B2010 | B2011 | B2012 | B2013,ECNL RL Boys,2025-26
5290,Lancaster FC ECNL RL B13,Northeast,B2008/2007 | B2011 | B2012 | B2013,ECNL RL Boys,2025-26
369,PSA North ECNL RL B13,Northeast,B2013,ECNL RL Boys,2025-26
435,Quickstrike FC ECNL RL B13,Northeast,B2009 | B2013,ECNL RL Boys,2025-26
613,STA MO ECNL RL B13,Northeast,B2009 | B2012 | B2013,ECNL RL Boys,2025-26
342,Select North ECNL RL B13,Northeast,B2010 | B2012 | B2013,ECNL RL Boys,2025-26
1484,West-Mont United ECNL RL B13,Northeast,B2010 | B2013,ECNL RL Boys,2025-26
5327,Westchester Soccer Club ECNL RL B13,Northeast,B2013,ECNL RL Boys,2025-26
1030,Western United Pioneers ECNL RL B13,Northeast,B2008/2007 | B2010 | B2011 | B2012 | B2013,ECNL RL Boys,2025-26
527,YMS ECNL RL B13,Northeast,B2009 | B2010 | B2011 | B2013,ECNL RL Boys,2025-26
4333,Central Washington Sounders ECNL RL B13,Northwest,B2010 | B2011 | B2013,ECNL RL Boys,2025-26
2322,Columbia Premier SC ECNL RL13B,Northwest,B2013,ECNL RL Boys,2025-26
398,Eastside FC ECNL RL B13,Northwest,B2011 | B2012 | B2013,ECNL RL Boys,2025-26
4551,Northwest United FC ECNL RL B13,Northwest,B2008/2007 | B2009 | B2010 | B2013,ECNL RL Boys,2025-26
2331,PacNW SC ECNL RL B13,Northwest,B2013,ECNL RL Boys,2025-26
1643,Seattle United ECNL RL B13,Northwest,B2008/2007 | B2009 | B2010 | B2011 | B2012 | B2013,ECNL RL Boys,2025-26
2544,Spokane Shadow ECNL RL B13,Northwest,B2009 | B2010 | B2013,ECNL RL Boys,2025-26
112,Washington Premier ECNL RL B13,Northwest,B2009 | B2011 | B2012 | B2013,ECNL RL Boys,2025-26
4153,Wenatchee FC ECNL RL B13,Northwest,B2012 | B2013,ECNL RL Boys,2025-26
3476,XF ECNL RL B13,Northwest,B2013,ECNL RL Boys,2025-26
3603,210 FC ECNL RL STXCL B13,STXCL,B2011 | B2013,ECNL RL Boys,2025-26
10,AHFC CENTRAL ECNL RL STXCL B13,STXCL,B2011 | B2012 | B2013,ECNL RL Boys,2025-26
3432,Cavalry ECNL RL STXCL B13,STXCL,B2013,ECNL RL Boys,2025-26
3489,Cedar Stars Rush Houston ECNL RL STXCL B13,STXCL,B2013,ECNL RL Boys,2025-26
25,Challenge United EAST ECNL RL STXCL B13,STXCL,B2008/2007 | B2009 | B2011 | B2012 | B2013,ECNL RL Boys,2025-26
1655,Cosmos FC ECNL RL STXCL B13,STXCL,B2013,ECNL RL Boys,2025-26
3321,Dynamos ECNL RL STXCL B13,STXCL,B2013,ECNL RL Boys,2025-26
3433,Houstonians FC Red ECNL RL STXCL B13,STXCL,B2009 | B2010 | B2011 | B2012 | B2013,ECNL RL Boys,2025-26
3718,Imperial SC ECNL RL STXCL B10,STXCL,B2010,ECNL RL Boys,2025-26
4543,JS Legends ECNL RL STXCL B10,STXCL,B2010,ECNL RL Boys,2025-26
4557,LTFC ECNL RL STXCL B13,STXCL,B2013,ECNL RL Boys,2025-26
62,Lonestar SC Black ECNL RL STXCL B14,STXCL,B2012 | B2013,ECNL RL Boys,2025-26
3575,MAFC ECNL RL STXCL B13,STXCL,B2009 | B2010 | B2011 | B2012 | B2013,ECNL RL Boys,2025-26
3900,Pearland SC NextUp ECNL RL STXCL B13,STXCL,B2012 | B2013,ECNL RL Boys,2025-26
1772,RISE SC ECNL RL STXCL B14,STXCL,B2011 | B2013,ECNL RL Boys,2025-26
4560,TC Premier SC ECNL RL STXCL B13,STXCL,B2013,ECNL RL Boys,2025-26
3653,VCF Houston Black ECNL RL STXCL B13,STXCL,B2013,ECNL RL Boys,2025-26
16,Beach FC (CA) ECNL RL S.Cal B13,SoCal,B2008/2007 | B2009 | B2010 | B2011 | B2012 | B2013,ECNL RL Boys,2025-26
2289,LA Breakers FC ECNL RL LB S.Cal B13,SoCal,B2009 | B2010 | B2013,ECNL RL Boys,2025-26
82,LAFC So Cal ECNL RL S.Cal B13,SoCal,B2008/2007 | B2009 | B2010 | B2011 | B2013,ECNL RL Boys,2025-26
57,LV Heat Surf ECNL RL S.Cal B13,SoCal,B2011 | B2013,ECNL RL Boys,2025-26
39,Legends FC San Diego ECNL RL S.Cal B13,SoCal,B2013,ECNL RL Boys,2025-26
300,Rebels SC ECNL RL S.Cal B13,SoCal,B2011 | B2012 | B2013,ECNL RL Boys,2025-26
86,SDSC Surf ECNL RL S.Cal B13,SoCal,B2008/2007 | B2009 | B2010 | B2011 | B2012 | B2013,ECNL RL Boys,2025-26
13,Sporting CA USA ECNL RL S.Cal B13,SoCal,B2010 | B2013,ECNL RL Boys,2025-26
113,West Coast FC ECNL RL S.Cal B13,SoCal,B2010 | B2011 | B2013,ECNL RL Boys,2025-26
14,Atlanta Fire United ECNL RL B13,Southeast,B2013,ECNL RL Boys,2025-26
380,CESA Triumph ECNL RL B13,Southeast,B2013,ECNL RL Boys,2025-26
30,Concorde Fire Platinum ECNL RL B13,Southeast,B2013,ECNL RL Boys,2025-26
56,GSA ECNL RL B13,Southeast,B2013,ECNL RL Boys,2025-26
