club_name,city,state,league,tier,tier_label,conference,division,gender,source_file
Monterey County Soccer – ECFC Salinas,,CA,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Mustang Soccer,,CA,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
MVLA Soccer Club,,CA,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Napa United,,CA,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Nomads Soccer Club,,CA,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
North Coast Futbol Club,,CA,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Oakland Soccer Club,,CA,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Paris Saint-Germain Academy Los Angeles,,CA,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Peninsula Youth Soccer,,CA,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Placer United Soccer Club,,CA,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Pleasanton Rage,,CA,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Rebels Soccer Club (San Diego),,CA,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Red Star Soccer Academy,,CA,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Revolution FC,,CA,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Sacramento Republic FC Academy,,CA,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Sacramento United Soccer Club,,CA,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
