club_name,city,state,league,tier,tier_label,source
Sticks N Kicks Soccer Academy,Fairfield,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Team Challenger FC North,Unknown,OH,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Team Challenger FC South,Unknown,OH,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Top Notch Soccer New Jersey,Trenton,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Valencia Soccer Academy,Edison,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Voorhees SA,Voorhees,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Wall Elite SC,Wall Township,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Wall Soccer Club,Wall Township,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Warrington SC,Warrington,PA,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Westbury Youth Soccer Club,Westbury,NY,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Western Lehigh United SC,Wescosville,PA,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Westfield SA,Westfield,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Weston FC,Weston,FL,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Weston Select Soccer Club,Weston,FL,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Williams Soccer Academy,Hartford,CT,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Woodbridge SC,Woodbridge,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Yardley Makefield Soccer,Morrisville,PA,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
