club,club_id,season,league,region,coast_url
Jewel City United,425,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=425
JOGA Bonito,275,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=275
Juniors Soccer Academy,268,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=268
JUSA Soccer,442,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=442
Juventus Academy LA,455,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=455
La Academia SC,815,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=815
La Esperanza,856,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=856
La Familia Soccer Club,225,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=225
LA Futbol Academy,251,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=251
La Mirada FC,891,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=891
LA Power FC,464,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=464
La Quinta FC,413,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=413
LA United FC,288,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=288
Legends Futbol Academy,458,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=458
Leon FC,296,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=296
Leopardos FC,391,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=391
Lightning Soccer Club,935,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=935
Los Angeles Bulls,490,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=490
Los Angeles Racing Club,388,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=388
Los Futboleros FC,274,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=274
Magnus FC,930,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=930
Manchester United,987,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=987
Menifee Strykers,247,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=247
