team_id,club_id,team_name,club_name,age_group,conference,league,season
59530,3475,Louisville City Academy ECNL RL B08/07,Louisville City Academy ECNL RL B08/07,B2008/2007,Great Lakes Alliance,ECNL RL Boys,2025-26
109937,3075,Pacesetter Soccer Club ECNL RL B08/07,Pacesetter Soccer Club ECNL RL B08/07,B2008/2007,Great Lakes Alliance,ECNL RL Boys,2025-26
114227,4563,Steel City FC ECNL RL B08/07,Steel City FC ECNL RL B08/07,B2008/2007,Great Lakes Alliance,ECNL RL Boys,2025-26
71233,4080,Blast FC Academy ECNL RL B09,Blast FC Academy ECNL RL B09,B2009,Great Lakes Alliance,ECNL RL Boys,2025-26
95565,4578,CAU Force ECNL RL B09,CAU Force ECNL RL B09,B2009,Great Lakes Alliance,ECNL RL Boys,2025-26
59134,3478,Cleveland Force SC White ECNL RL B09,Cleveland Force SC White ECNL RL B09,B2009,Great Lakes Alliance,ECNL RL Boys,2025-26
112836,1874,Cuyahoga Valley SA - CVSA 2009 Boys ECNL RL,Cuyahoga Valley SA - CVSA 2009 Boys ECNL RL,B2009,Great Lakes Alliance,ECNL RL Boys,2025-26
95228,4575,North FC ECNL RL B09,North FC ECNL RL B09,B2009,Great Lakes Alliance,ECNL RL Boys,2025-26
113463,4006,Ohio Galaxies FC ECNL RL B09,Ohio Galaxies FC ECNL RL B09,B2009,Great Lakes Alliance,ECNL RL Boys,2025-26
113545,5184,Team Challenger FC North ECNL RL B09,Team Challenger FC North ECNL RL B09,B2009,Great Lakes Alliance,ECNL RL Boys,2025-26
95564,4578,CAU Force ECNL RL B10,CAU Force ECNL RL B10,B2010,Great Lakes Alliance,ECNL RL Boys,2025-26
70141,4075,Columbus Force ECNL RL B10,Columbus Force ECNL RL B10,B2010,Great Lakes Alliance,ECNL RL Boys,2025-26
69119,3475,Louisville City Academy ECNL RL B10,Louisville City Academy ECNL RL B10,B2010,Great Lakes Alliance,ECNL RL Boys,2025-26
95229,4575,North FC ECNL RL B10,North FC ECNL RL B10,B2010,Great Lakes Alliance,ECNL RL Boys,2025-26
81329,4009,Sporting Columbus ECNL RL B10,Sporting Columbus ECNL RL B10,B2010,Great Lakes Alliance,ECNL RL Boys,2025-26
95364,4563,Steel City FC ECNL RL B10,Steel City FC ECNL RL B10,B2010,Great Lakes Alliance,ECNL RL Boys,2025-26
113544,5184,Team Challenger FC North ECNL RL B10,Team Challenger FC North ECNL RL B10,B2010,Great Lakes Alliance,ECNL RL Boys,2025-26
79631,4080,Blast FC Academy ECNL RL B11,Blast FC Academy ECNL RL B11,B2011,Great Lakes Alliance,ECNL RL Boys,2025-26
81788,4075,Columbus Force ECNL RL B11,Columbus Force ECNL RL B11,B2011,Great Lakes Alliance,ECNL RL Boys,2025-26
112841,1874,Cuyahoga Valley SA - CVSA 2011 Boys ECNL RL,Cuyahoga Valley SA - CVSA 2011 Boys ECNL RL,B2011,Great Lakes Alliance,ECNL RL Boys,2025-26
96296,4458,Manta ECNL RL B11,Manta ECNL RL B11,B2011,Great Lakes Alliance,ECNL RL Boys,2025-26
95230,4575,North FC ECNL RL B11,North FC ECNL RL B11,B2011,Great Lakes Alliance,ECNL RL Boys,2025-26
95367,4563,Steel City FC ECNL RL B11,Steel City FC ECNL RL B11,B2011,Great Lakes Alliance,ECNL RL Boys,2025-26
113542,5184,Team Challenger FC North ECNL RL B11,Team Challenger FC North ECNL RL B11,B2011,Great Lakes Alliance,ECNL RL Boys,2025-26
59146,3478,Cleveland Force SC White ECNL RL B12,Cleveland Force SC White ECNL RL B12,B2012,Great Lakes Alliance,ECNL RL Boys,2025-26
95231,4575,North FC ECNL RL B12,North FC ECNL RL B12,B2012,Great Lakes Alliance,ECNL RL Boys,2025-26
113472,4006,Ohio Galaxies FC ECNL RL B12,Ohio Galaxies FC ECNL RL B12,B2012,Great Lakes Alliance,ECNL RL Boys,2025-26
109948,3075,Pacesetter Soccer Club ECNL RL B12,Pacesetter Soccer Club ECNL RL B12,B2012,Great Lakes Alliance,ECNL RL Boys,2025-26
81421,4009,Sporting Columbus ECNL RL B12,Sporting Columbus ECNL RL B12,B2012,Great Lakes Alliance,ECNL RL Boys,2025-26
113541,5184,Team Challenger FC North ECNL RL B12,Team Challenger FC North ECNL RL B12,B2012,Great Lakes Alliance,ECNL RL Boys,2025-26
113461,4460,Upper 90 FC - ECNL RL B12,Upper 90 FC - ECNL RL B12,B2012,Great Lakes Alliance,ECNL RL Boys,2025-26
114925,4080,Blast FC Academy ECNL RL B13,Blast FC Academy ECNL RL B13,B2013,Great Lakes Alliance,ECNL RL Boys,2025-26
95574,4578,CAU Force ECNL RL B13,CAU Force ECNL RL B13,B2013,Great Lakes Alliance,ECNL RL Boys,2025-26
71191,4087,Cincinnati Elite FC ECNL RL B13,Cincinnati Elite FC ECNL RL B13,B2013,Great Lakes Alliance,ECNL RL Boys,2025-26
93563,3478,Cleveland Force SC White ECNL RL B13,Cleveland Force SC White ECNL RL B13,B2013,Great Lakes Alliance,ECNL RL Boys,2025-26
113406,3478,Cleveland Force SC Yellow ECNL RL B13,Cleveland Force SC Yellow ECNL RL B13,B2013,Great Lakes Alliance,ECNL RL Boys,2025-26
94547,4075,Columbus Force ECNL RL B13,Columbus Force ECNL RL B13,B2013,Great Lakes Alliance,ECNL RL Boys,2025-26
114317,4598,Croatia Juniors ECNL RL B13,Croatia Juniors ECNL RL B13,B2013,Great Lakes Alliance,ECNL RL Boys,2025-26
114947,1874,Cuyahoga Valley SA - CVSA 2013 Boys ECNL RL,Cuyahoga Valley SA - CVSA 2013 Boys ECNL RL,B2013,Great Lakes Alliance,ECNL RL Boys,2025-26
112924,5124,Elite FC - Elite FC 2013 Boys ECNL RL,Elite FC - Elite FC 2013 Boys ECNL RL,B2013,Great Lakes Alliance,ECNL RL Boys,2025-26
110654,1501,FC Pride Elite ECNL RL B13,FC Pride Elite ECNL RL B13,B2013,Great Lakes Alliance,ECNL RL Boys,2025-26
80935,4008,GTFC Impact ECNL RL B13,GTFC Impact ECNL RL B13,B2013,Great Lakes Alliance,ECNL RL Boys,2025-26
113011,5203,Liverpool FC IA Central - 13B ECNL RL,Liverpool FC IA Central - 13B ECNL RL,B2013,Great Lakes Alliance,ECNL RL Boys,2025-26
113525,3475,Louisville City Academy ECNL RL B13,Louisville City Academy ECNL RL B13,B2013,Great Lakes Alliance,ECNL RL Boys,2025-26
93515,4458,Manta ECNL RL B13,Manta ECNL RL B13,B2013,Great Lakes Alliance,ECNL RL Boys,2025-26
115174,1713,Nationals SC CA ECNL RL B13,Nationals SC CA ECNL RL B13,B2013,Great Lakes Alliance,ECNL RL Boys,2025-26
115102,1713,Nationals Soccer Club ECNL RL B13,Nationals Soccer Club ECNL RL B13,B2013,Great Lakes Alliance,ECNL RL Boys,2025-26
113555,4575,North FC ECNL RL B13,North FC ECNL RL B13,B2013,Great Lakes Alliance,ECNL RL Boys,2025-26
112508,75,Ohio Elite SA ECNL RL B13,Ohio Elite SA ECNL RL B13,B2013,Great Lakes Alliance,ECNL RL Boys,2025-26
113474,4006,Ohio Galaxies FC ECNL RL B13,Ohio Galaxies FC ECNL RL B13,B2013,Great Lakes Alliance,ECNL RL Boys,2025-26
