division,conference,school,mens_soccer,womens_soccer
Division II,Central Atlantic Collegiate Conference,Felician University,True,True
Division II,Great Lakes Intercollegiate Athletic Conference,Ferris State University,False,True
Division II,Peach Belt Conference,Flagler College,True,True
Division II,Sunshine State Conference,Florida Institute of Technology,True,True
Division II,Sunshine State Conference,Florida Southern College,True,True
Division II,Mid-America Intercollegiate Athletics Association,Fort Hays State University,True,True
Division II,Rocky Mountain Athletic Conference,Fort Lewis College,True,True
Division II,Conference Carolinas,Francis Marion University,True,True
Division II,Northeast-10 Conference,Franklin Pierce University,True,True
Division II,Pacific West Conference,Fresno Pacific University,True,True
Division II,Mountain East Conference,Frostburg State University,True,True
Division II,Pennsylvania State Athletic Conference,Gannon University,True,True
Division II,Peach Belt Conference,Georgia College,False,True
Division II,Peach Belt Conference,Georgia Southwestern State University,True,True
Division II,Central Atlantic Collegiate Conference,Georgian Court University,True,True
Division II,Mountain East Conference,Glenville State University,False,True
Division II,Central Atlantic Collegiate Conference,Goldey-Beacom College,True,True
Division II,Great Lakes Intercollegiate Athletic Conference,Grand Valley State University,False,True
Division II,Great American Conference,Harding University,True,True
Division II,Pacific West Conference,Hawaii Pacific University,True,True
Division II,Central Atlantic Collegiate Conference,Holy Family University,True,True
Division II,Pennsylvania State Athletic Conference,Indiana University of Pennsylvania,False,True
Division II,Pacific West Conference,Jessup University ,True,True
Division II,Great Midwest Athletic Conference,Kentucky Wesleyan College,True,True
Division II,Conference Carolinas,King University,True,True
Division II,Pennsylvania State Athletic Conference,Kutztown University of Pennsylvania,False,True
Division II,Great Midwest Athletic Conference,Lake Erie College,True,True
Division II,Peach Belt Conference,Lander University,True,True
Division II,Northeast Conference,Le Moyne College,True,True
Division II,Gulf South Conference,Lee University,True,True
Division II,Conference Carolinas,Lees-McRae College,True,True
Division II,South Atlantic Conference,Lenoir-Rhyne University,True,True
Division II,Great Lakes Valley Conference,Lewis University,True,True
Division II,South Atlantic Conference,Lincoln Memorial University,True,True
Division II,Great Lakes Valley Conference,Lincoln University (Missouri),True,True
Division II,Central Intercollegiate Athletic Association,Lincoln University (Pennsylvania),False,True
Division II,Pennsylvania State Athletic Conference,Lock Haven University of Pennsylvania,True,True
Division II,Lone Star Conference,Lubbock Christian University,True,True
Division II,Sunshine State Conference,Lynn University,True,True
Division II,Great Midwest Athletic Conference,Malone University,True,True
Division II,Pennsylvania State Athletic Conference,Mansfield University of Pennsylvania,False,True
Division II,South Atlantic Conference,Mars Hill University,True,True
Division II,Great Lakes Valley Conference,Maryville University of Saint Louis,True,True
Division II,Great Lakes Valley Conference,McKendree University,True,True
Division II,Pacific West Conference,Menlo College,True,True
Division II,East Coast Conference,Mercy University,True,True
Division II,Northeast Conference,Mercyhurst University,True,True
Division II,Rocky Mountain Athletic Conference,Metropolitan State University of Denver,True,True
Division II,Great Lakes Intercollegiate Athletic Conference,Michigan Technological University,False,True
Division II,Peach Belt Conference,Middle Georgia State University ,True,True
Division II,Lone Star Conference,Midwestern State University,True,True
Division II,Pennsylvania State Athletic Conference,Millersville University of Pennsylvania,True,True
Division II,Northern Sun Intercollegiate Conference,Minnesota State University Moorhead,False,True
Division II,Northern Sun Intercollegiate Conference,"Minnesota State University, Mankato",False,True
Division II,Northern Sun Intercollegiate Conference,Minot State University,False,True
